Glon_1,glat_1,comments,col1,Glon_2,Glat_2,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity,Separation
350.3747,-0.9292,,344,350.3747,-0.929242,12.852789473684211,0.10957894736842104,11.977526315789476,0.12126315789473685,0.026297309748337903,19,split_350.0_360.0/0_3.csv,0.6-4.0,298,341627,0.6974149441572807,6.1,4.200638961793235E-5
350.126,-1.0622,,340,350.12597999999997,-1.062179,13.504909090909093,0.08263636363636365,12.634045454545454,0.11154545454545456,0.017081408987541617,22,split_350.0_360.0/0_3.csv,0.6-4.0,363,341627,1.2432199182348516,7.54,2.8963971463023567E-5
350.3236,-0.4945,,1369,350.32362,-0.4944625,13.523944444444444,0.09716666666666668,12.702833333333334,0.11594444444444445,0.01901124917647463,18,split_350.0_360.0/0_4.csv,0.6-4.0,298,373558,0.8739928784454334,3.02,4.250988768875249E-5
350.0546,-1.2486,,356,350.054617,-1.248592,13.259677419354837,0.08974193548387098,12.20748387096774,0.126741935483871,0.02422267790724685,31,split_350.0_360.0/0_3.csv,0.6-4.0,197,341627,1.2353457047573777,7.52,1.879089391108055E-5
350.0573,-0.0228,,1403,350.057294,-0.022786,13.228666666666667,0.12893333333333334,12.430066666666667,0.14133333333333334,0.037319999999999985,15,split_350.0_360.0/0_4.csv,0.6-4.0,317,373558,0.3710185867852456,2.65,1.5231899571781786E-5
350.0951,-1.0334,,339,350.095083,-1.033389,14.08286956521739,0.1122608695652174,13.167652173913044,0.12560869565217392,0.013890993089032851,23,split_350.0_360.0/0_3.csv,0.6-4.0,351,341627,1.5982455754554366,4.25,2.028043074102685E-5
350.1818,-1.2593,,354,350.181843,-1.259347,13.574071428571427,0.09464285714285717,12.770499999999998,0.11035714285714286,0.03255771791760235,14,split_350.0_360.0/0_3.csv,0.6-4.0,237,341627,0.41507162915467416,3.36,6.370721804566616E-5
350.2698,1.3351,,975,350.269805,1.335145,13.493956521739133,0.11317391304347825,12.667478260869565,0.12230434782608697,0.03392307627555558,23,split_350.0_360.0/0_5.csv,0.6-4.0,167,319385,0.6768624366490805,9.05,4.5222520003785306E-5
350.2783,-0.5075,,1368,350.278317,-0.5075029999999999,13.695711111111109,0.0995111111111111,12.74137777777778,0.1096,0.02655883058417929,45,split_350.0_360.0/0_4.csv,0.6-4.0,298,373558,1.5640463101270887,7.31,1.7263920961827854E-5
350.346,0.1289,,1402,350.34595299999995,0.1289275,12.80205,0.10487499999999997,11.9553,0.11595,0.05548315983475896,40,split_350.0_360.0/0_4.csv,0.6-4.0,300,373558,0.6654950775484804,2.57,5.445087056898334E-5
