Glon,Glat,comments,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity
8.4873,-0.9788,,12.39568421,0.078421053,11.29068421,0.083421053,0.008941596,19,split_0.0_15.0/8_3.csv,0.6-4.0,250,240064,2.446809077,2.67
312.1103,0.2674,,13.23446667,0.1041,12.13086667,0.1176,0.02279632,30,split_295.0_335.0/17_3.csv,0.6-4.0,398,165047,1.827585717,3.27
331.082,-0.4749,,13.87375,0.1239375,12.7775625,0.147,0.018372682,16,split_295.0_335.0/36_2.csv,0.6-4.0,392,234565,1.01447393,3.46
52.573,-0.9566,'G3CC_68',13.137,0.109857143,12.0412381,0.116666667,0.027723342,21,split_35.0_66.0/17_0.csv,0.6-4.0,141,122500,1.221042346,4.01
301.6476,-0.2456,G3CC_6,13.317,0.096962963,12.22214815,0.106333333,0.040827476,27,split_295.0_335.0/6_2.csv,0.6-4.0,116,138097,1.004024184,3.59
297.4671,-0.7476,[BRN2015]_La_Serena_19,12.40715789,0.104263158,11.31268421,0.119,0.051283945,19,split_295.0_335.0/2_2.csv,0.6-4.0,84,122812,0.596453838,2.09
326.7962,0.3835,G3CC_27,12.75036364,0.105727273,11.65645455,0.119909091,0.015910049,33,split_295.0_335.0/31_3.csv,0.6-4.0,339,199300,2.621282544,5.59
350.929,0.7557,G3CC_45,12.83458333,0.077916667,11.74705556,0.083777778,0.014006395,36,split_350.0_360.0/0_5.csv,0.6-4.0,460,319385,2.565924837,4.8
355.9339,-0.3432,,13.3227,0.1112,12.2373,0.11545,0.037525723,20,split_350.0_360.0/5_4.csv,0.6-4.0,223,412872,0.467970281,1.13
324.1711,0.3983,,13.65389474,0.126368421,12.56894737,0.134421053,0.019856572,19,split_295.0_335.0/29_3.csv,0.6-4.0,203,213388,1.168663246,6.36
56.1269,0.2179,,14.24004167,0.133041667,13.15975,0.150541667,0.074323435,24,split_35.0_66.0/21_1.csv,0.6-4.0,97,129584,0.506098259,3.21
332.9605,-0.6774,,13.481875,0.12296875,12.40203125,0.13071875,0.058006464,32,split_295.0_335.0/38_2.csv,0.6-4.0,172,199894,0.6961435,3.9
5.8939,-0.2887,,13.5622381,0.095666667,12.48252381,0.109809524,0.011740338,21,split_0.0_15.0/5_4.csv,0.6-4.0,455,368977,1.661361327,7.76
314.2055,0.2036,G3CC_17,13.54412766,0.110978723,12.46461702,0.124404255,0.034558852,47,split_295.0_335.0/19_3.csv,0.6-4.0,431,172255,1.848747923,11.3
359.9523,-2.6933,,13.20614286,0.130142857,12.12692857,0.134714286,0.066104913,14,split_350.0_360.0/9_2.csv,0.6-4.0,57,475462,0.173285194,2.37
7.3384,-0.0188,,13.35721053,0.089210526,12.27989474,0.101368421,0.009709959,19,split_0.0_15.0/7_4.csv,0.6-4.0,529,356435,1.8491455,4.62
309.9705,0.3027,G3CC_14,13.25008,0.10272,12.17312,0.12196,0.035530765,25,split_295.0_335.0/15_3.csv,0.6-4.0,255,166917,0.971650827,1.96
299.6047,0.1704,,13.98014286,0.130952381,12.90385714,0.132714286,0.043860978,21,split_295.0_335.0/4_3.csv,0.6-4.0,97,120310,0.778780712,3.13
