,Glon,Glat,GLIMPSE,S,C,Jmag,e_Jmag,Kmag,e_Kmag,3_6mag,e_3_6mag,4_5mag,e_4_5mag,5_8mag,e_5_8mag,8_0mag,e_8_0mag
963,284.236101,0.741508,G284.2361+00.7415,1,C,13.956,0.028,13.52,0.043,13.276,0.085,,,,,,
964,284.3006,0.732633,G284.3006+00.7326,1,A,,,,,15.32,0.204,,,,,,
965,284.299885,0.735197,G284.2998+00.7352,1,C,14.879,0.097,12.689,0.042,12.262,0.063,,,12.025,0.129,,
966,284.296234,0.733036,G284.2962+00.7330,1,A,,,,,14.872,0.134,,,,,,
967,284.300955,0.736789,G284.3009+00.7367,1,C,13.755,0.033,12.779,0.03,12.645,0.06,,,12.173,0.171,,
968,284.297773,0.7377,G284.2977+00.7377,1,C,13.803,0.03,12.732,0.032,12.325,0.054,,,11.908,0.165,,
969,284.300383,0.738911,G284.3003+00.7389,1,A,15.259,0.071,14.692,0.114,14.496,0.118,,,,,,
970,284.292967,0.733908,G284.2929+00.7339,1,C,14.005,0.03,13.532,0.064,13.484,0.092,,,,,,
971,284.288314,0.733136,G284.2883+00.7331,1,A,16.038,0.112,15.261,0.184,15.011,0.144,,,,,,
972,284.283994,0.744533,G284.2839+00.7445,1,C,13.221,0.024,12.959,0.032,12.865,0.08,,,12.52,0.258,,
973,284.298715,0.742794,G284.2987+00.7427,1,C,13.442,0.043,12.837,0.042,12.999,0.076,,,,,,
974,284.299276,0.742822,G284.2992+00.7428,1,A,,,,,13.941,0.124,,,,,,
975,284.298073,0.746528,G284.2980+00.7465,1,C,14.965,0.045,14.084,0.064,14.051,0.083,,,,,,
976,284.296051,0.752597,G284.2960+00.7526,1,A,,,,,15.423,0.201,,,,,,
977,284.292662,0.750744,G284.2926+00.7507,1,A,16.009,0.111,14.738,0.126,14.486,0.104,,,,,,
978,284.291031,0.755547,G284.2910+00.7555,1,A,,,,,14.845,0.124,,,,,,
979,284.290331,0.754692,G284.2903+00.7546,1,A,,,,,14.906,0.135,,,,,,
